Faragó Péter		Pornóapáti, Gyászkeret u. 69.
Kende Krisztián		Somogyszob, Kossuth u. 48.
Fekete Dénes		Boronka, Napsugár u. 38.
Balogh Valentin		Nagyatád, Templom u. 5.
Bálint Csongor		Kaposvár, Csomós Gergely u. 21.
Oláh Donát		Gadány, Gettó u. 13.
Sípos Flórián		Kelevíz, Széchenyi u. 4.
Pál Antal		Böhönye, Diófa u. 15.
Kocsis Bendegúz		Miskolc, Kiskés u. 2.
Szalai Márton		Budapest, Hős u. 6.
Winkler Oszkár		Nyiregyháza, Gárdonyi Géza u. 22.
Dely Péter		Hajdusámson, Szánkó u. 3.
Papp Roland		Nemeskisfalud, Madarász u. 34.
Kalányos Ármándó	Kutas, Szabó u. 2.
Lakatos Krisztián	Ötvöskónyi, Boss u. 7.

